ped_id,n_frames,rg_mean,rg_std,dmax_mean,rama_favored_pct,rota_favored_pct,cbdev_mean,helix_frac,ca_mean_dev,pro_phi_mean,bond_CA_C_mean,bond_N_CA_mean,bond_C_N_mean,clash_mean,clash_std
PED00003,500,35.79210503047811,7.791924165804809,109.0477782726288,87.13846153846154,82.99411764705881,0.2228812067003317,0.0003636363636363,0.0004803178484142,-85.44469549562676,1.5299068143927688,1.4385352638977946,1.3517443080476224,224.234,24.448039948319554
PED00006,500,38.30996186053984,8.184774717428162,117.05276359558106,87.48936170212765,83.52432432432433,0.224411903860959,0.0002937062937062,0.0004815004117741,-85.52926920239983,1.5299046457564085,1.4386174548572594,1.3511753750963948,238.108,22.84566007732622
PED00016,500,30.153933175339763,6.42313821703935,91.2138227558136,87.02429906542056,82.62222222222222,0.2373311097527365,0.0004587155963302,0.000480071000009,-83.5503814581453,1.5298890291747698,1.4373475079864535,1.354632140332902,203.97,26.94701064618359
PED00074,500,8.963067382557645,1.025944822639985,21.51274847507477,95.82222222222222,79.92,0.2285599573323798,0.0,0.0004794170703733,,1.5299476695710963,1.430143984599547,1.3470636606693267,23.072,7.716859194754257
PED00140,500,36.96852216974611,7.170495663132607,111.35652750968931,89.92408759124088,86.51132075471698,0.2136622337067983,0.0004460431654676,0.0004800908882679,-78.44133710861206,1.5296310348836637,1.4353576402801405,1.3545230149816776,258.298,31.118578499920456
PED00141,500,37.336474735784805,7.743731940626867,112.90657486915588,89.41294964028776,86.42037037037036,0.2187614568941859,0.0006524822695035,0.0004812375122371,-82.85301271907488,1.5296379076572175,1.4350475360653925,1.3541387578708783,259.218,28.75385268252198
PED00142,500,30.884409366214665,6.623579727154652,93.16633067131042,82.5103448275862,80.56595744680851,0.2497575246341747,0.0002542372881355,0.0004802345474117,-83.63938708652144,1.5297346873242978,1.4379964732739887,1.3513269722950765,217.244,28.351509310093544
PED00154,500,23.90506497993709,4.57683127951529,72.40477209091186,81.4361111111111,80.27586206896552,0.2507129332953915,0.0002432432432432,0.0004807439635455,-82.73056070037683,1.5296972952597852,1.4387967957967036,1.3480317339897157,138.514,19.41968208041028
PED00155,500,13.127621172603025,1.901601781326277,35.9112984085083,92.78,82.90526315789474,0.1969856967555824,0.0,0.000478677699476,,1.529367354934866,1.429118158329617,1.35192390135924,41.176,12.426014472522667
PED00159,500,28.121067501556148,5.957162782517023,83.71588079452515,82.91818181818181,79.68395061728395,0.2609718980283202,0.0003111111111111,0.0004798000073874,-83.86783613601943,1.5298660222556857,1.4390484776020052,1.351961282787698,176.372,21.865172937234004
PED00181,500,22.4202400849665,4.324174113193652,67.32359648227691,87.39365079365079,83.74901960784314,0.2357272927872797,0.000276923076923,0.0004799948323333,-84.8139426690638,1.5295727627057296,1.4383842898442194,1.3521635061763226,102.926,17.578011747464156
PED00183,500,67.85735605204344,16.129056539747136,208.29970182418825,88.00662251655629,84.70927318295739,0.2263742061436358,0.0002593406593406,0.0004807714636885,-80.18623056361126,1.5299470194439313,1.436701704005881,1.4809627395981209,1034.43,59.5267331870972
PED00184,500,38.17960067900261,8.619775488866694,115.71681372642516,89.672,86.40588235294118,0.2230618906444837,0.0003684210526315,0.0004809783321244,-82.9236587312167,1.529548572394409,1.437027799446332,1.3554682622074292,245.226,27.233476614214982
PED00229,500,26.49865323852799,5.01414463891874,78.64976090431213,84.8,81.46060606060605,0.2549240194739341,0.0001971830985915,0.0004796380104061,-83.93932603656938,1.5301811619678014,1.4390573358972307,1.3508684158699853,145.888,19.80464349105068
PED00231,500,12.913191216934203,1.8476942844631832,34.4298905992508,85.74000000000001,74.14736842105263,0.2144085890889167,0.0,0.0004777360350397,-75.7357404843757,1.5297250663475557,1.434699100245129,1.3424671744448795,40.052,10.571509334964352
PED00233,500,32.71911346379743,7.37718300795382,99.68062445640564,89.0625,85.37981651376147,0.2351769144136962,0.0001384615384615,0.0004817455119346,-84.39658047474083,1.5295273484101664,1.4365428743655866,1.3559935536144314,234.942,30.3384158279548
PED00238,500,13.153472951809816,1.906442321739052,35.32547380447388,85.61999999999999,74.28421052631579,0.2147680697977077,0.0,0.0004816542686917,-78.73022445276199,1.5297250765887174,1.4346991020224311,1.342024349082084,39.466,11.100779188741411
PED00442,500,35.293047572700104,7.729004629908752,105.981782951355,87.36124031007752,85.31404958677686,0.2296212230535276,0.0001832061068702,0.0004812466658313,-84.30126258630924,1.5299690955922804,1.4368706463639065,1.3540277892121904,279.57,32.439632542910196
PED00468,500,16.74369377346043,3.0685319362654946,47.8807449054718,86.03157894736843,82.94193548387096,0.2119852046847808,0.00015,0.0004798088757611,-75.81973880129554,1.5295744598925114,1.441230019813776,1.3439377788060751,100.322,15.134742709202142
PED00483,500,20.77420046539675,3.7951099419696113,60.95818323135376,91.20816326530613,87.10697674418604,0.221297101240184,0.0002745098039215,0.0004794697733237,,1.52971366575185,1.4344625772448147,1.3524086508178712,84.734,18.00465437486421
