ped_id,n_frames,rg_mean,rg_std,dmax_mean,rama_favored_pct,rota_favored_pct,cbdev_mean,clash_mean,helix_frac,ca_mean_dev,pro_phi_mean,bond_CA_C_mean,bond_N_CA_mean,bond_C_N_mean
PED00003,300,32.47200477820551,7.386725746601792,99.0634153842926,88.91919191919192,93.18446601941747,0.5243489657347694,377.57666666666665,0.014751243781094527,2.4445115620682927e-06,-77.27952490982524,1.5282324478727074,1.4701799738303347,1.3298769760729379
PED00006,300,28.253520003271078,6.875061951872874,87.21820421218872,89.90209790209789,93.56845238095238,0.4934541115006008,409.04333333333335,0.01871264367816092,2.0705655746223524e-06,-77.13489934791855,1.5329490951573712,1.4732166591869003,1.3302591148874274
PED00016,300,30.93986279701625,6.59047747093992,92.66051451365153,93.1820987654321,94.0952380952381,0.3557862937707829,294.9766666666667,0.04490909090909091,1.505369483407616e-06,-66.28775678223482,1.520573682830189,1.4597902070283888,1.3297989979286078
PED00074,81,9.133769098244809,1.5261055996791602,24.326790144414076,91.13355780022447,93.10699588477365,0.5740567657332389,39.407407407407405,0.04748338081671415,2.858631575420601e-07,,1.5496825129218252,1.4911147903399817,1.3294002462807015
PED00140,8,40.11047961198169,13.872400538318955,122.45783030986786,90.625,96.14485981308411,0.4337523794424991,435.25,0.027288732394366196,1.983933729011561e-06,-50.28705994288127,1.5301815613474643,1.465517251109573,1.329131247938102
PED00141,6,35.36868105475208,8.192391200917163,105.44231414794922,92.01877934272301,94.18960244648318,0.4311843638315622,475.3333333333333,0.024305555555555556,1.9828215449464366e-06,-61.025975757175026,1.535293680926164,1.4641807680880585,1.3289011539001288
PED00154,200,26.153014805210777,5.167444886220184,77.16787708997727,90.18243243243244,90.84166666666667,0.3540595074321788,194.015,0.030986842105263156,1.3993850644641138e-06,-61.90865968024731,1.520703430073826,1.4621408888658407,1.329746431104342
PED00155,300,13.605144978510669,2.189673116749249,38.29892578125,95.54545454545455,97.2063492063492,0.37192466223605375,61.29666666666667,0.00875,7.153548478792497e-06,,1.5399401804556447,1.4716193881299762,1.3299230121702388
PED00181,300,22.647014610587867,4.827450136447949,69.42224564552308,93.51282051282051,94.63461538461539,0.3365991951176224,135.86,0.06482587064676618,5.065233209094021e-06,-69.32197295475007,1.539591985982449,1.4713246791843158,1.3303144236526103
PED00183,12,63.196218641326766,12.882004566336414,210.53408861160278,90.32672540381792,93.96407685881371,0.43472995890997934,1495.5,0.023757309941520467,3.41021516380359e-06,-56.826273477739754,1.528220449514382,1.4618282512876026,1.3293430990788526
PED00184,300,36.597178954931245,7.843786474714165,112.94204545021057,93.66447368421052,95.1338199513382,0.33846394264719154,396.0233333333333,0.09298701298701299,1.8824334949988546e-06,-68.52437665386552,1.5198318808354858,1.459634342178122,1.3297932863313389
PED00229,50,31.05318737685594,6.397205011987784,95.73676071166992,95.35211267605634,90.14705882352942,0.3399407796520326,173.22,0.015616438356164384,4.441218810052928e-06,-65.04387481638364,1.530352074610044,1.4590108816264427,1.331017870472537
PED00231,50,12.922069963345525,3.077939182856452,36.017713165283205,95.45454545454545,94.6,0.36442462713235896,56.54,0.023333333333333334,2.271604817944232e-06,-27.37186860561371,1.5312087674935657,1.4601834176977473,1.330193612575531
PED00233,20,40.27079175444488,21.21140631029185,119.40202045440674,94.57692307692308,95.13513513513514,0.3904362662496591,343.8,0.05909090909090909,4.8662421046642665e-06,-68.91113740166028,1.5338347205158436,1.473459168004267,1.330391017808259
PED00238,50,13.887445403831725,2.958848868804814,40.9227947473526,93.81818181818183,93.2,0.3814924497618562,59.18,0.018333333333333333,2.1997314723876113e-06,-34.91880846977234,1.5347685419519743,1.4613008461395902,1.3302494781950247
PED00442,300,29.615417924688852,7.702573896257782,90.08945225079854,87.72264631043257,91.41734417344173,0.5178676034756315,394.9,0.0007769423558897244,8.001296053133724e-07,-61.85069232030903,1.552391937270499,1.497565785301359,1.3331377610443818
PED00468,300,16.449724339725194,3.7304278389485153,46.41456247170766,88.78333333333333,91.86868686868686,0.4989284782096521,125.61666666666666,0.0007142857142857143,4.512176404962497e-07,-62.53941651324431,1.5521399037043255,1.4968152669024846,1.332476732294734
PED00483,100,20.33146347757145,4.704035572838599,59.622057342529295,94.29411764705883,93.24444444444444,0.5058592510137858,140.35,0.0,5.631992735932315e-07,,1.5507631913333568,1.4959256102229062,1.3324333336490852
PED00484,100,26.473905606015343,7.013419090339542,83.58935046195984,88.95104895104895,92.125,0.5125228030022912,373.32,0.000689655172413793,7.061594184488361e-07,-61.06030558423805,1.5519140234075741,1.4965529604533623,1.332440193568667
PED00493,300,49.97971327790308,9.766307620695443,152.80752305984498,89.73134328358209,94.91528545119705,0.4193686516629909,848.7766666666666,0.04262962962962963,2.6071735694253524e-06,-62.347143614597954,1.5030766729896452,1.4406768489796438,1.3313651216620996
PED00494,300,52.80023221830923,10.739348870862456,162.18712685902912,89.73756218905473,95.07734806629834,0.41932012665264207,839.8366666666667,0.039419753086419755,2.651389703496036e-06,-62.31743109746492,1.5034358252912394,1.440832974553476,1.3306467442205256
PED00495,181,55.36483429921,11.159258690542227,167.85566809427672,89.76663643110415,95.28097432923292,0.41891567906990873,826.5690607734807,0.0399427051360753,2.394156797857143e-06,-63.557949451221454,1.502891225798476,1.4406610490342995,1.3309902466928314
PED00536,300,21.272592573362733,4.74940301435321,63.257794602711996,91.33333333333333,93.10928961748634,0.4522909265872187,196.81,0.10046948356807511,5.844183557453403e-07,-61.32134336948062,1.5437853186287231,1.4805335157494033,1.330568062975293
